"SoftPlot +Plus+ Measurement Management Software"
"Start", 9.541400000000000E+0008
"Stop", 9.741400000000000E+0008
"Points",2001
"Point","X-Axis (Hz)","West of Telstar 11N (dBm)","Telstar 11N (dBm)","East of Telstar 11N (dBm)","Signal Generator at 11504.02GHz into LNBF (dBm)"
273,964564000.000000000000,-101.675999999978,-100.136999999988,-89.133999999962,-87.126999999979
274,964566000.000000000000,-101.658999999985,-100.449999999953,-89.613000000012,-87.033000000054
275,964568000.000000000000,-101.834000000032,-100.511000000057,-89.258999999962,-87.192999999970
276,964570000.000000000000,-101.891999999993,-100.714000000036,-90.275000000023,-87.087999999989
277,964572000.000000000000,-102.025000000023,-101.047999999952,-89.113000000012,-87.219000000041
278,964574000.000000000000,-101.934000000008,-100.944000000018,-89.314999999944,-87.261000000057
279,964576000.000000000000,-101.902000000002,-100.880000000005,-89.366999999969,-87.167000000016
280,964578000.000000000000,-102.003999999957,-100.886000000057,-90.185999999987,-87.003000000026
281,964580000.000000000000,-101.991999999969,-100.863000000012,-89.089000000036,-87.018000000040
282,964582000.000000000000,-101.922999999952,-100.952000000048,-89.167999999947,-87.087999999989
283,964584000.000000000000,-101.996999999974,-101.062999999966,-89.275999999954,-87.081000000006
284,964586000.000000000000,-101.873999999953,-100.988999999943,-90.143000000040,-87.028999999980
285,964588000.000000000000,-101.932000000030,-100.824999999953,-88.454999999958,-87.069999999949
286,964590000.000000000000,-102.023000000045,-100.704999999958,-90.119999999995,-87.125000000000
287,964592000.000000000000,-102.037000000011,-100.746999999974,-89.079999999958,-87.251000000047
288,964594000.000000000000,-101.846000000020,-100.842999999993,-89.905000000028,-87.182000000030
289,964596000.000000000000,-101.896999999997,-100.905000000028,-88.836000000010,-87.273000000045
290,964598000.000000000000,-101.940999999992,-100.820999999996,-90.170999999973,-87.126999999979
291,964600000.000000000000,-102.096999999951,-100.778999999980,-89.003000000026,-87.209000000032
292,964602000.000000000000,-102.091000000015,-100.712999999989,-89.903000000049,-87.314000000013
293,964604000.000000000000,-102.013999999966,-100.839999999967,-89.140999999945,-87.250000000000
294,964606000.000000000000,-101.947000000044,-100.792999999947,-89.842999999993,-87.266999999993
295,964608000.000000000000,-102.131999999983,-100.974999999977,-88.873000000021,-87.253999999957
296,964610000.000000000000,-102.082000000053,-100.951000000001,-89.224999999977,-87.082999999984
297,964612000.000000000000,-102.062000000034,-101.028999999980,-89.013000000035,-87.119999999995
298,964614000.000000000000,-102.060000000056,-100.957000000053,-90.128999999957,-87.111999999965
299,964616000.000000000000,-102.099999999977,-100.883000000031,-89.212999999989,-87.116000000038
300,964618000.000000000000,-102.106999999960,-100.812000000034,-89.273999999976,-87.337000000058
301,964620000.000000000000,-101.981999999960,-100.770000000019,-89.437000000034,-87.251000000047
302,964622000.000000000000,-101.876000000047,-100.731000000029,-88.920000000042,-87.162000000011
303,964624000.000000000000,-101.847999999998,-100.660999999964,-89.128000000026,-87.094000000041
304,964626000.000000000000,-102.000000000000,-100.682999999961,-90.312999999966,-87.081000000006
305,964628000.000000000000,-101.863000000012,-100.812999999966,-89.165999999968,-87.094000000041
306,964630000.000000000000,-101.915000000037,-100.545000000042,-89.604000000050,-87.327000000048
307,964632000.000000000000,-101.814999999944,-100.437000000034,-88.930000000051,-87.251999999979
308,964634000.000000000000,-101.724000000046,-100.658999999985,-90.162999999942,-87.381000000052
309,964636000.000000000000,-101.643999999971,-100.814000000013,-88.503999999957,-87.207999999984
310,964638000.000000000000,-101.613999999943,-100.687000000034,-89.158999999985,-87.251000000047
311,964640000.000000000000,-101.716000000015,-100.778999999980,-89.349999999977,-87.273000000045
